0.3567 	WARNING 	Movie2 stim could not be imported and won't be available
12.6991 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xfee3f30>, name='window1', pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.6992 	EXP 	window1: recordFrameIntervals = False
12.8654 	EXP 	window1: recordFrameIntervals = True
13.0486 	EXP 	window1: recordFrameIntervals = False
13.1417 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
13.1475 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
13.1526 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
13.1653 	EXP 	text_2: autoDraw = True
39.7178 	DATA 	Keypress: space
39.7233 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
39.7238 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
39.7242 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
39.7266 	EXP 	window1: recordFrameIntervals = False
39.7343 	EXP 	text_2: autoDraw = False
39.7343 	EXP 	text: text = u'pata'
39.7343 	EXP 	text: autoDraw = True
39.7345 	EXP 	window1: recordFrameIntervals = False
41.6846 	DATA 	Keypress: space
41.6851 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
41.6874 	EXP 	window1: recordFrameIntervals = False
41.7009 	EXP 	text: autoDraw = False
41.7009 	EXP 	text: text = u'bata'
41.7009 	EXP 	text: autoDraw = True
41.7011 	EXP 	window1: recordFrameIntervals = False
43.1512 	DATA 	Keypress: space
43.1516 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
43.1540 	EXP 	window1: recordFrameIntervals = False
43.1676 	EXP 	text: autoDraw = False
43.1676 	EXP 	text: text = u'taco'
43.1676 	EXP 	text: autoDraw = True
43.1678 	EXP 	window1: recordFrameIntervals = False
44.7350 	DATA 	Keypress: space
44.7355 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
44.7383 	EXP 	window1: recordFrameIntervals = False
44.7511 	EXP 	text: autoDraw = False
44.7511 	EXP 	text: text = u'dedo'
44.7511 	EXP 	text: autoDraw = True
44.7512 	EXP 	window1: recordFrameIntervals = False
46.4683 	DATA 	Keypress: space
46.4686 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
46.4710 	EXP 	window1: recordFrameIntervals = False
46.4847 	EXP 	text: autoDraw = False
46.4847 	EXP 	text: text = u'casa'
46.4847 	EXP 	text: autoDraw = True
46.4849 	EXP 	window1: recordFrameIntervals = False
48.1850 	DATA 	Keypress: space
48.1855 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
48.1879 	EXP 	window1: recordFrameIntervals = False
48.2015 	EXP 	text: autoDraw = False
48.2015 	EXP 	text: text = u'gato'
48.2015 	EXP 	text: autoDraw = True
48.2016 	EXP 	window1: recordFrameIntervals = False
50.0187 	DATA 	Keypress: space
50.0191 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
50.0217 	EXP 	window1: recordFrameIntervals = False
50.0352 	EXP 	text: autoDraw = False
50.0352 	EXP 	text: text = u'daba'
50.0352 	EXP 	text: autoDraw = True
50.0354 	EXP 	window1: recordFrameIntervals = False
51.7524 	DATA 	Keypress: space
51.7529 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
51.7565 	EXP 	window1: recordFrameIntervals = False
51.7688 	EXP 	text: autoDraw = False
51.7688 	EXP 	text: text = u'hada'
51.7688 	EXP 	text: autoDraw = True
51.7689 	EXP 	window1: recordFrameIntervals = False
53.5023 	DATA 	Keypress: space
53.5027 	EXP 	New trial (rep=0, index=8): {u'stim': u'haga'}
53.5052 	EXP 	window1: recordFrameIntervals = False
53.5188 	EXP 	text: autoDraw = False
53.5188 	EXP 	text: text = u'haga'
53.5188 	EXP 	text: autoDraw = True
53.5189 	EXP 	window1: recordFrameIntervals = False
55.2859 	DATA 	Keypress: space
55.2863 	EXP 	New trial (rep=0, index=9): {u'stim': u'en Mallorca'}
55.2912 	EXP 	window1: recordFrameIntervals = False
55.3023 	EXP 	text: autoDraw = False
55.3023 	EXP 	text: text = u'en Mallorca'
55.3023 	EXP 	text: autoDraw = True
55.3027 	EXP 	window1: recordFrameIntervals = False
57.3028 	DATA 	Keypress: space
57.3032 	EXP 	New trial (rep=0, index=10): {u'stim': u'en Finlandia'}
57.3082 	EXP 	window1: recordFrameIntervals = False
57.3192 	EXP 	text: autoDraw = False
57.3192 	EXP 	text: text = u'en Finlandia'
57.3192 	EXP 	text: autoDraw = True
57.3194 	EXP 	window1: recordFrameIntervals = False
59.7531 	DATA 	Keypress: space
59.7535 	EXP 	New trial (rep=0, index=11): {u'stim': u'encima'}
59.7567 	EXP 	window1: recordFrameIntervals = False
59.7693 	EXP 	text: autoDraw = False
59.7693 	EXP 	text: text = u'encima'
59.7693 	EXP 	text: autoDraw = True
59.7694 	EXP 	window1: recordFrameIntervals = False
62.4733 	DATA 	Keypress: space
62.4737 	EXP 	New trial (rep=0, index=12): {u'stim': u'enano'}
62.4765 	EXP 	window1: recordFrameIntervals = False
62.4899 	EXP 	text: autoDraw = False
62.4899 	EXP 	text: text = u'enano'
62.4899 	EXP 	text: autoDraw = True
62.4901 	EXP 	window1: recordFrameIntervals = False
65.2702 	DATA 	Keypress: space
65.2706 	EXP 	New trial (rep=0, index=13): {u'stim': u'hincha'}
65.2735 	EXP 	window1: recordFrameIntervals = False
65.2864 	EXP 	text: autoDraw = False
65.2864 	EXP 	text: text = u'hincha'
65.2864 	EXP 	text: autoDraw = True
65.2865 	EXP 	window1: recordFrameIntervals = False
66.9905 	DATA 	Keypress: space
66.9909 	EXP 	New trial (rep=0, index=14): {u'stim': u'a\xf1o'}
66.9945 	EXP 	window1: recordFrameIntervals = False
67.0070 	EXP 	text: autoDraw = False
67.0070 	EXP 	text: text = u'a\xf1o'
67.0070 	EXP 	text: autoDraw = True
67.0071 	EXP 	window1: recordFrameIntervals = False
68.5573 	DATA 	Keypress: space
68.5578 	EXP 	New trial (rep=0, index=15): {u'stim': u'tango'}
68.5607 	EXP 	window1: recordFrameIntervals = False
68.5736 	EXP 	text: autoDraw = False
68.5736 	EXP 	text: text = u'tango'
68.5736 	EXP 	text: autoDraw = True
68.5737 	EXP 	window1: recordFrameIntervals = False
70.2740 	DATA 	Keypress: space
70.2745 	EXP 	New trial (rep=0, index=16): {u'stim': u'pala'}
70.2769 	EXP 	window1: recordFrameIntervals = False
70.2906 	EXP 	text: autoDraw = False
70.2906 	EXP 	text: text = u'pala'
70.2906 	EXP 	text: autoDraw = True
70.2907 	EXP 	window1: recordFrameIntervals = False
72.3875 	DATA 	Keypress: space
72.3879 	EXP 	New trial (rep=0, index=17): {u'stim': u'alto'}
72.3906 	EXP 	window1: recordFrameIntervals = False
72.4040 	EXP 	text: autoDraw = False
72.4040 	EXP 	text: text = u'alto'
72.4040 	EXP 	text: autoDraw = True
72.4041 	EXP 	window1: recordFrameIntervals = False
74.2376 	DATA 	Keypress: space
74.2380 	EXP 	New trial (rep=0, index=18): {u'stim': u'algo'}
74.2405 	EXP 	window1: recordFrameIntervals = False
74.2541 	EXP 	text: autoDraw = False
74.2541 	EXP 	text: text = u'algo'
74.2541 	EXP 	text: autoDraw = True
74.2543 	EXP 	window1: recordFrameIntervals = False
76.1711 	DATA 	Keypress: space
76.1715 	EXP 	New trial (rep=0, index=19): {u'stim': u'para'}
76.1739 	EXP 	window1: recordFrameIntervals = False
76.1876 	EXP 	text: autoDraw = False
76.1876 	EXP 	text: text = u'para'
76.1876 	EXP 	text: autoDraw = True
76.1878 	EXP 	window1: recordFrameIntervals = False
77.8381 	DATA 	Keypress: space
77.8385 	EXP 	New trial (rep=0, index=20): {u'stim': u'corre'}
77.8412 	EXP 	window1: recordFrameIntervals = False
77.8544 	EXP 	text: autoDraw = False
77.8544 	EXP 	text: text = u'corre'
77.8544 	EXP 	text: autoDraw = True
77.8546 	EXP 	window1: recordFrameIntervals = False
79.5381 	DATA 	Keypress: space
79.5385 	EXP 	New trial (rep=0, index=21): {u'stim': u'Enrique'}
79.5436 	EXP 	window1: recordFrameIntervals = False
79.5547 	EXP 	text: autoDraw = False
79.5547 	EXP 	text: text = u'Enrique'
79.5547 	EXP 	text: autoDraw = True
79.5550 	EXP 	window1: recordFrameIntervals = False
81.3048 	DATA 	Keypress: space
81.3052 	EXP 	New trial (rep=0, index=22): {u'stim': u'Rosa'}
81.3088 	EXP 	window1: recordFrameIntervals = False
81.3213 	EXP 	text: autoDraw = False
81.3213 	EXP 	text: text = u'Rosa'
81.3213 	EXP 	text: autoDraw = True
81.3215 	EXP 	window1: recordFrameIntervals = False
83.2589 	DATA 	Keypress: space
83.2594 	EXP 	New trial (rep=0, index=23): {u'stim': u'Israel'}
83.2642 	EXP 	window1: recordFrameIntervals = False
83.2750 	EXP 	text: autoDraw = False
83.2750 	EXP 	text: text = u'Israel'
83.2750 	EXP 	text: autoDraw = True
83.2752 	EXP 	window1: recordFrameIntervals = False
85.7719 	DATA 	Keypress: space
85.7723 	EXP 	New trial (rep=0, index=24): {u'stim': u'\xbfCu\xe1ndo vienes?'}
85.7810 	EXP 	window1: recordFrameIntervals = False
85.7884 	EXP 	text: autoDraw = False
85.7884 	EXP 	text: text = u'\xbfCu\xe1ndo vienes?'
85.7884 	EXP 	text: autoDraw = True
85.7886 	EXP 	window1: recordFrameIntervals = False
88.9224 	DATA 	Keypress: space
88.9228 	EXP 	New trial (rep=0, index=25): {u'stim': u'\xbfVienes a las 6?'}
88.9287 	EXP 	window1: recordFrameIntervals = False
88.9388 	EXP 	text: autoDraw = False
88.9388 	EXP 	text: text = u'\xbfVienes a las 6?'
88.9388 	EXP 	text: autoDraw = True
88.9389 	EXP 	window1: recordFrameIntervals = False
91.8726 	DATA 	Keypress: space
91.8731 	EXP 	New trial (rep=0, index=26): {u'stim': u'El viento norte y el sol porfiaban sobre cu\xe1l de ellos era el m\xe1s fuerte, cuando acert\xf3 a pasar un viajero envuelto en ancha capa. Convinieron en que quien antes lograra obligar al viajero a quitarse la capa ser\xeda considerado m\xe1s poderoso. El viento norte sopl\xf3 con gran furia, pero cuanto m\xe1s soplaba, m\xe1s se arrebujaba en su capa el viajero; por fin el viento norte abandon\xf3 la empresa. Entonces brill\xf3 el sol con ardor, e inmediatamente se despoj\xf3 de su capa el viajero; por lo que el viento norte hubo de reconocer la superioridad del sol.'}
91.9418 	EXP 	window1: recordFrameIntervals = False
91.9556 	EXP 	text: autoDraw = False
91.9556 	EXP 	text: text = u'El viento norte y el sol porfiaban sobre cu\xe1l de ellos era el m\xe1s fuerte, cuando acert\xf3 a pasar un viajero envuelto en ancha capa. Convinieron en que quien antes lograra obligar al viajero a quitarse la capa ser\xeda considerado m\xe1s poderoso. El viento norte sopl\xf3 con gran furia, pero cuanto m\xe1s soplaba, m\xe1s se arrebujaba en su capa el viajero; por fin el viento norte abandon\xf3 la empresa. Entonces brill\xf3 el sol con ardor, e inmediatamente se despoj\xf3 de su capa el viajero; por lo que el viento norte hubo de reconocer la superioridad del sol.'
91.9556 	EXP 	text: autoDraw = True
91.9557 	EXP 	window1: recordFrameIntervals = False
161.4788 	DATA 	Keypress: space
161.4955 	EXP 	text: autoDraw = False
161.4955 	EXP 	text_3: autoDraw = True
163.3495 	DATA 	Keypress: space
