0.3326 	WARNING 	Movie2 stim could not be imported and won't be available
9.3863 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xfbe6f30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.3863 	EXP 	window1: recordFrameIntervals = False
9.5519 	EXP 	window1: recordFrameIntervals = True
9.7351 	EXP 	window1: recordFrameIntervals = False
9.8370 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.8426 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
9.8474 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
9.8685 	EXP 	text_2: autoDraw = True
221.6654 	DATA 	Keypress: space
221.6735 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
221.6740 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
221.6744 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
221.6771 	EXP 	window1: recordFrameIntervals = False
221.6981 	EXP 	text_2: autoDraw = False
221.6981 	EXP 	text: text = u'pata'
221.6981 	EXP 	text: autoDraw = True
221.6985 	EXP 	window1: recordFrameIntervals = False
224.2156 	DATA 	Keypress: space
