0.7994 	WARNING 	Movie2 stim could not be imported and won't be available
54.6473 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x107bcf30>, name='window1', pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
54.6473 	EXP 	window1: recordFrameIntervals = False
54.8125 	EXP 	window1: recordFrameIntervals = True
54.9959 	EXP 	window1: recordFrameIntervals = False
55.1158 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
55.1216 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
55.1278 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
55.1457 	EXP 	text_2: autoDraw = True
73.0978 	DATA 	Keypress: space
73.1070 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
73.1074 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
73.1084 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
73.1109 	EXP 	window1: recordFrameIntervals = False
73.1308 	EXP 	text_2: autoDraw = False
73.1308 	EXP 	text: text = u'pata'
73.1308 	EXP 	text: autoDraw = True
73.1310 	EXP 	window1: recordFrameIntervals = False
74.6478 	DATA 	Keypress: space
74.6483 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
74.6508 	EXP 	window1: recordFrameIntervals = False
74.6644 	EXP 	text: autoDraw = False
74.6644 	EXP 	text: text = u'bata'
74.6644 	EXP 	text: autoDraw = True
74.6646 	EXP 	window1: recordFrameIntervals = False
75.8480 	DATA 	Keypress: space
75.8484 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
75.8507 	EXP 	window1: recordFrameIntervals = False
75.8644 	EXP 	text: autoDraw = False
75.8644 	EXP 	text: text = u'taco'
75.8644 	EXP 	text: autoDraw = True
75.8647 	EXP 	window1: recordFrameIntervals = False
76.9314 	DATA 	Keypress: space
76.9318 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
76.9342 	EXP 	window1: recordFrameIntervals = False
76.9478 	EXP 	text: autoDraw = False
76.9478 	EXP 	text: text = u'dedo'
76.9478 	EXP 	text: autoDraw = True
76.9479 	EXP 	window1: recordFrameIntervals = False
78.0981 	DATA 	Keypress: space
78.0985 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
78.1152 	EXP 	window1: recordFrameIntervals = False
78.1313 	EXP 	text: autoDraw = False
78.1313 	EXP 	text: text = u'casa'
78.1313 	EXP 	text: autoDraw = True
78.1314 	EXP 	window1: recordFrameIntervals = False
79.3483 	DATA 	Keypress: space
79.3487 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
79.3514 	EXP 	window1: recordFrameIntervals = False
79.3649 	EXP 	text: autoDraw = False
79.3649 	EXP 	text: text = u'gato'
79.3649 	EXP 	text: autoDraw = True
79.3652 	EXP 	window1: recordFrameIntervals = False
80.4819 	DATA 	Keypress: space
80.4823 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
80.4850 	EXP 	window1: recordFrameIntervals = False
80.4984 	EXP 	text: autoDraw = False
80.4984 	EXP 	text: text = u'daba'
80.4984 	EXP 	text: autoDraw = True
80.4985 	EXP 	window1: recordFrameIntervals = False
81.5821 	DATA 	Keypress: space
81.5826 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
81.5861 	EXP 	window1: recordFrameIntervals = False
81.5983 	EXP 	text: autoDraw = False
81.5983 	EXP 	text: text = u'hada'
81.5983 	EXP 	text: autoDraw = True
81.5985 	EXP 	window1: recordFrameIntervals = False
82.7320 	DATA 	Keypress: space
