0.3318 	WARNING 	Movie2 stim could not be imported and won't be available
11.4978 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x105e6f30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.4978 	EXP 	window1: recordFrameIntervals = False
11.6631 	EXP 	window1: recordFrameIntervals = True
11.8470 	EXP 	window1: recordFrameIntervals = False
11.9500 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.9556 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
11.9605 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
11.9805 	EXP 	text_2: autoDraw = True
117.7290 	DATA 	Keypress: space
117.7370 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
117.7375 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
117.7379 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
117.7406 	EXP 	window1: recordFrameIntervals = False
117.7615 	EXP 	text_2: autoDraw = False
117.7615 	EXP 	text: text = u'pata'
117.7615 	EXP 	text: autoDraw = True
117.7618 	EXP 	window1: recordFrameIntervals = False
119.3618 	DATA 	Keypress: space
119.3627 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
119.3666 	EXP 	window1: recordFrameIntervals = False
119.3782 	EXP 	text: autoDraw = False
