0.3507 	WARNING 	Movie2 stim could not be imported and won't be available
8.9118 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xfee3f30>, name='window1', pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9118 	EXP 	window1: recordFrameIntervals = False
9.0778 	EXP 	window1: recordFrameIntervals = True
9.2609 	EXP 	window1: recordFrameIntervals = False
9.3563 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.3622 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
9.3672 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
9.3775 	EXP 	text_2: autoDraw = True
41.1809 	DATA 	Keypress: space
41.1867 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
41.1871 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
41.1874 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
41.1898 	EXP 	window1: recordFrameIntervals = False
41.1976 	EXP 	text_2: autoDraw = False
41.1976 	EXP 	text: text = u'pata'
41.1976 	EXP 	text: autoDraw = True
41.1977 	EXP 	window1: recordFrameIntervals = False
42.8144 	DATA 	Keypress: space
42.8149 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
42.8172 	EXP 	window1: recordFrameIntervals = False
42.8308 	EXP 	text: autoDraw = False
42.8308 	EXP 	text: text = u'bata'
42.8308 	EXP 	text: autoDraw = True
42.8309 	EXP 	window1: recordFrameIntervals = False
44.1312 	DATA 	Keypress: space
44.1316 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
44.1340 	EXP 	window1: recordFrameIntervals = False
44.1477 	EXP 	text: autoDraw = False
44.1477 	EXP 	text: text = u'taco'
44.1477 	EXP 	text: autoDraw = True
44.1479 	EXP 	window1: recordFrameIntervals = False
45.5647 	DATA 	Keypress: space
45.5651 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
45.5675 	EXP 	window1: recordFrameIntervals = False
45.5848 	EXP 	text: autoDraw = False
45.5848 	EXP 	text: text = u'dedo'
45.5848 	EXP 	text: autoDraw = True
45.5850 	EXP 	window1: recordFrameIntervals = False
46.8148 	DATA 	Keypress: space
46.8152 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
46.8176 	EXP 	window1: recordFrameIntervals = False
46.8313 	EXP 	text: autoDraw = False
46.8313 	EXP 	text: text = u'casa'
46.8313 	EXP 	text: autoDraw = True
46.8314 	EXP 	window1: recordFrameIntervals = False
48.3485 	DATA 	Keypress: space
48.3488 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
48.3511 	EXP 	window1: recordFrameIntervals = False
48.3647 	EXP 	text: autoDraw = False
48.3647 	EXP 	text: text = u'gato'
48.3647 	EXP 	text: autoDraw = True
48.3649 	EXP 	window1: recordFrameIntervals = False
49.3484 	DATA 	Keypress: space
49.3488 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
49.3513 	EXP 	window1: recordFrameIntervals = False
49.3649 	EXP 	text: autoDraw = False
49.3649 	EXP 	text: text = u'daba'
49.3649 	EXP 	text: autoDraw = True
49.3650 	EXP 	window1: recordFrameIntervals = False
