0.5323 	WARNING 	Movie2 stim could not be imported and won't be available
10.5594 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xee64f30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.5595 	EXP 	window1: recordFrameIntervals = False
10.7239 	EXP 	window1: recordFrameIntervals = True
11.0117 	WARNING 	t of last frame was 21.37ms (=1/46)
11.2576 	EXP 	window1: recordFrameIntervals = False
11.4118 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.4179 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
11.4242 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
11.4407 	EXP 	text_2: autoDraw = True
58.5010 	DATA 	Keypress: space
58.5178 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
58.5192 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
58.5200 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
58.5245 	EXP 	window1: recordFrameIntervals = False
58.5339 	EXP 	text_2: autoDraw = False
58.5339 	EXP 	text: text = u'pata'
58.5339 	EXP 	text: autoDraw = True
58.5346 	EXP 	window1: recordFrameIntervals = False
60.5173 	DATA 	Keypress: space
60.5182 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
60.5219 	EXP 	window1: recordFrameIntervals = False
60.5335 	EXP 	text: autoDraw = False
60.5335 	EXP 	text: text = u'bata'
60.5335 	EXP 	text: autoDraw = True
60.5338 	EXP 	window1: recordFrameIntervals = False
62.0352 	DATA 	Keypress: space
62.0360 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
62.0402 	EXP 	window1: recordFrameIntervals = False
62.0506 	EXP 	text: autoDraw = False
62.0506 	EXP 	text: text = u'taco'
62.0506 	EXP 	text: autoDraw = True
62.0510 	EXP 	window1: recordFrameIntervals = False
63.2850 	DATA 	Keypress: space
63.2858 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
63.2894 	EXP 	window1: recordFrameIntervals = False
63.3010 	EXP 	text: autoDraw = False
63.3010 	EXP 	text: text = u'dedo'
63.3010 	EXP 	text: autoDraw = True
63.3013 	EXP 	window1: recordFrameIntervals = False
64.4854 	DATA 	Keypress: space
64.4862 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
64.4900 	EXP 	window1: recordFrameIntervals = False
64.5017 	EXP 	text: autoDraw = False
64.5017 	EXP 	text: text = u'casa'
64.5017 	EXP 	text: autoDraw = True
64.5020 	EXP 	window1: recordFrameIntervals = False
65.8684 	DATA 	Keypress: space
65.8693 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
65.8730 	EXP 	window1: recordFrameIntervals = False
65.8848 	EXP 	text: autoDraw = False
65.8848 	EXP 	text: text = u'gato'
65.8848 	EXP 	text: autoDraw = True
65.8851 	EXP 	window1: recordFrameIntervals = False
67.2364 	DATA 	Keypress: space
67.2372 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
67.2412 	EXP 	window1: recordFrameIntervals = False
67.2517 	EXP 	text: autoDraw = False
67.2517 	EXP 	text: text = u'daba'
67.2517 	EXP 	text: autoDraw = True
67.2520 	EXP 	window1: recordFrameIntervals = False
68.8856 	DATA 	Keypress: space
68.8865 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
