0.3538 	WARNING 	Movie2 stim could not be imported and won't be available
10.1013 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xffccf30>, name='window1', pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.1014 	EXP 	window1: recordFrameIntervals = False
10.2670 	EXP 	window1: recordFrameIntervals = True
10.4507 	EXP 	window1: recordFrameIntervals = False
10.5516 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.5575 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
10.5627 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
10.5840 	EXP 	text_2: autoDraw = True
41.3538 	DATA 	Keypress: space
41.3597 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
41.3601 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
41.3605 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
41.3629 	EXP 	window1: recordFrameIntervals = False
41.3701 	EXP 	text_2: autoDraw = False
41.3701 	EXP 	text: text = u'pata'
41.3701 	EXP 	text: autoDraw = True
41.3702 	EXP 	window1: recordFrameIntervals = False
43.5039 	DATA 	Keypress: space
43.5044 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
43.5068 	EXP 	window1: recordFrameIntervals = False
43.5204 	EXP 	text: autoDraw = False
43.5204 	EXP 	text: text = u'bata'
43.5204 	EXP 	text: autoDraw = True
43.5206 	EXP 	window1: recordFrameIntervals = False
44.9576 	DATA 	Keypress: space
44.9580 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
44.9604 	EXP 	window1: recordFrameIntervals = False
44.9741 	EXP 	text: autoDraw = False
44.9741 	EXP 	text: text = u'taco'
44.9741 	EXP 	text: autoDraw = True
44.9742 	EXP 	window1: recordFrameIntervals = False
46.4078 	DATA 	Keypress: space
46.4082 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
46.4105 	EXP 	window1: recordFrameIntervals = False
46.4243 	EXP 	text: autoDraw = False
46.4243 	EXP 	text: text = u'dedo'
46.4243 	EXP 	text: autoDraw = True
46.4244 	EXP 	window1: recordFrameIntervals = False
48.4544 	DATA 	Keypress: space
48.4548 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
48.4573 	EXP 	window1: recordFrameIntervals = False
48.4710 	EXP 	text: autoDraw = False
48.4710 	EXP 	text: text = u'casa'
48.4710 	EXP 	text: autoDraw = True
48.4712 	EXP 	window1: recordFrameIntervals = False
49.9381 	DATA 	Keypress: space
49.9386 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
49.9410 	EXP 	window1: recordFrameIntervals = False
49.9544 	EXP 	text: autoDraw = False
49.9544 	EXP 	text: text = u'gato'
49.9544 	EXP 	text: autoDraw = True
49.9545 	EXP 	window1: recordFrameIntervals = False
51.5047 	DATA 	Keypress: space
51.5051 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
51.5077 	EXP 	window1: recordFrameIntervals = False
51.5212 	EXP 	text: autoDraw = False
51.5212 	EXP 	text: text = u'daba'
51.5212 	EXP 	text: autoDraw = True
51.5214 	EXP 	window1: recordFrameIntervals = False
53.1255 	DATA 	Keypress: space
53.1259 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
53.1296 	EXP 	window1: recordFrameIntervals = False
53.1379 	EXP 	text: autoDraw = False
53.1379 	EXP 	text: text = u'hada'
53.1379 	EXP 	text: autoDraw = True
53.1380 	EXP 	window1: recordFrameIntervals = False
54.4717 	DATA 	Keypress: space
54.4721 	EXP 	New trial (rep=0, index=8): {u'stim': u'haga'}
54.4745 	EXP 	window1: recordFrameIntervals = False
54.4881 	EXP 	text: autoDraw = False
54.4881 	EXP 	text: text = u'haga'
54.4881 	EXP 	text: autoDraw = True
54.4883 	EXP 	window1: recordFrameIntervals = False
56.2885 	DATA 	Keypress: space
56.2889 	EXP 	New trial (rep=0, index=9): {u'stim': u'en Mallorca'}
56.2936 	EXP 	window1: recordFrameIntervals = False
56.3050 	EXP 	text: autoDraw = False
56.3050 	EXP 	text: text = u'en Mallorca'
56.3050 	EXP 	text: autoDraw = True
56.3051 	EXP 	window1: recordFrameIntervals = False
59.3554 	DATA 	Keypress: space
59.3558 	EXP 	New trial (rep=0, index=10): {u'stim': u'en Finlandia'}
59.3605 	EXP 	window1: recordFrameIntervals = False
59.3719 	EXP 	text: autoDraw = False
59.3719 	EXP 	text: text = u'en Finlandia'
59.3719 	EXP 	text: autoDraw = True
59.3720 	EXP 	window1: recordFrameIntervals = False
61.1057 	DATA 	Keypress: space
61.1061 	EXP 	New trial (rep=0, index=11): {u'stim': u'encima'}
61.1095 	EXP 	window1: recordFrameIntervals = False
61.1223 	EXP 	text: autoDraw = False
61.1223 	EXP 	text: text = u'encima'
61.1223 	EXP 	text: autoDraw = True
61.1224 	EXP 	window1: recordFrameIntervals = False
62.5427 	DATA 	Keypress: space
62.5431 	EXP 	New trial (rep=0, index=12): {u'stim': u'enano'}
62.5458 	EXP 	window1: recordFrameIntervals = False
62.5593 	EXP 	text: autoDraw = False
62.5593 	EXP 	text: text = u'enano'
62.5593 	EXP 	text: autoDraw = True
62.5594 	EXP 	window1: recordFrameIntervals = False
65.2098 	DATA 	Keypress: space
65.2102 	EXP 	New trial (rep=0, index=13): {u'stim': u'hincha'}
65.2130 	EXP 	window1: recordFrameIntervals = False
65.2260 	EXP 	text: autoDraw = False
65.2260 	EXP 	text: text = u'hincha'
65.2260 	EXP 	text: autoDraw = True
65.2261 	EXP 	window1: recordFrameIntervals = False
67.3563 	DATA 	Keypress: space
67.3567 	EXP 	New trial (rep=0, index=14): {u'stim': u'a\xf1o'}
67.3601 	EXP 	window1: recordFrameIntervals = False
67.3729 	EXP 	text: autoDraw = False
67.3729 	EXP 	text: text = u'a\xf1o'
67.3729 	EXP 	text: autoDraw = True
67.3730 	EXP 	window1: recordFrameIntervals = False
68.6565 	DATA 	Keypress: space
