0.3387 	WARNING 	Movie2 stim could not be imported and won't be available
10.2026 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xfce6f30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.2026 	EXP 	window1: recordFrameIntervals = False
10.3677 	EXP 	window1: recordFrameIntervals = True
10.5506 	EXP 	window1: recordFrameIntervals = False
10.6562 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.6619 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
10.6670 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
10.6839 	EXP 	text_2: autoDraw = True
50.0235 	DATA 	Keypress: space
50.0320 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
50.0325 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
50.0329 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
50.0357 	EXP 	window1: recordFrameIntervals = False
50.0567 	EXP 	text_2: autoDraw = False
50.0567 	EXP 	text: text = u'pata'
50.0567 	EXP 	text: autoDraw = True
50.0571 	EXP 	window1: recordFrameIntervals = False
51.5071 	DATA 	Keypress: space
51.5080 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
51.5121 	EXP 	window1: recordFrameIntervals = False
51.5230 	EXP 	text: autoDraw = False
51.5230 	EXP 	text: text = u'bata'
51.5230 	EXP 	text: autoDraw = True
51.5233 	EXP 	window1: recordFrameIntervals = False
52.8572 	DATA 	Keypress: space
52.8580 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
52.8618 	EXP 	window1: recordFrameIntervals = False
52.8734 	EXP 	text: autoDraw = False
52.8734 	EXP 	text: text = u'taco'
52.8734 	EXP 	text: autoDraw = True
52.8737 	EXP 	window1: recordFrameIntervals = False
54.1906 	DATA 	Keypress: space
54.1913 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
54.1949 	EXP 	window1: recordFrameIntervals = False
54.2068 	EXP 	text: autoDraw = False
54.2068 	EXP 	text: text = u'dedo'
54.2068 	EXP 	text: autoDraw = True
54.2071 	EXP 	window1: recordFrameIntervals = False
55.8410 	DATA 	Keypress: space
55.8418 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
55.8459 	EXP 	window1: recordFrameIntervals = False
55.8570 	EXP 	text: autoDraw = False
55.8570 	EXP 	text: text = u'casa'
55.8570 	EXP 	text: autoDraw = True
55.8573 	EXP 	window1: recordFrameIntervals = False
57.1079 	DATA 	Keypress: space
57.1087 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
57.1125 	EXP 	window1: recordFrameIntervals = False
57.1242 	EXP 	text: autoDraw = False
57.1242 	EXP 	text: text = u'gato'
57.1242 	EXP 	text: autoDraw = True
57.1245 	EXP 	window1: recordFrameIntervals = False
58.5747 	DATA 	Keypress: space
58.5755 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
58.5795 	EXP 	window1: recordFrameIntervals = False
58.5912 	EXP 	text: autoDraw = False
58.5912 	EXP 	text: text = u'daba'
58.5912 	EXP 	text: autoDraw = True
58.5914 	EXP 	window1: recordFrameIntervals = False
