0.3343 	WARNING 	Movie2 stim could not be imported and won't be available
8.5677 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x106ccf30>, name='window1', pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5677 	EXP 	window1: recordFrameIntervals = False
8.7335 	EXP 	window1: recordFrameIntervals = True
8.9169 	EXP 	window1: recordFrameIntervals = False
9.0095 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.0154 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
9.0204 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
9.0336 	EXP 	text_2: autoDraw = True
60.0222 	DATA 	Keypress: space
60.0278 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
60.0282 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
60.0285 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
60.0309 	EXP 	window1: recordFrameIntervals = False
60.0387 	EXP 	text_2: autoDraw = False
60.0387 	EXP 	text: text = u'pata'
60.0387 	EXP 	text: autoDraw = True
60.0388 	EXP 	window1: recordFrameIntervals = False
62.2225 	DATA 	Keypress: space
62.2229 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
62.2253 	EXP 	window1: recordFrameIntervals = False
62.2388 	EXP 	text: autoDraw = False
62.2388 	EXP 	text: text = u'bata'
62.2388 	EXP 	text: autoDraw = True
62.2390 	EXP 	window1: recordFrameIntervals = False
64.1223 	DATA 	Keypress: space
64.1227 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
64.1252 	EXP 	window1: recordFrameIntervals = False
64.1389 	EXP 	text: autoDraw = False
64.1389 	EXP 	text: text = u'taco'
64.1389 	EXP 	text: autoDraw = True
64.1390 	EXP 	window1: recordFrameIntervals = False
66.1226 	DATA 	Keypress: space
66.1230 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
66.1255 	EXP 	window1: recordFrameIntervals = False
66.1390 	EXP 	text: autoDraw = False
66.1390 	EXP 	text: text = u'dedo'
66.1390 	EXP 	text: autoDraw = True
66.1391 	EXP 	window1: recordFrameIntervals = False
68.5062 	DATA 	Keypress: space
68.5066 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
68.5090 	EXP 	window1: recordFrameIntervals = False
68.5226 	EXP 	text: autoDraw = False
68.5226 	EXP 	text: text = u'casa'
68.5226 	EXP 	text: autoDraw = True
68.5227 	EXP 	window1: recordFrameIntervals = False
70.5232 	DATA 	Keypress: space
70.5236 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
70.5260 	EXP 	window1: recordFrameIntervals = False
70.5396 	EXP 	text: autoDraw = False
70.5396 	EXP 	text: text = u'gato'
70.5396 	EXP 	text: autoDraw = True
70.5398 	EXP 	window1: recordFrameIntervals = False
72.4604 	DATA 	Keypress: space
72.4608 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
72.4635 	EXP 	window1: recordFrameIntervals = False
72.4765 	EXP 	text: autoDraw = False
72.4765 	EXP 	text: text = u'daba'
72.4765 	EXP 	text: autoDraw = True
72.4767 	EXP 	window1: recordFrameIntervals = False
74.4234 	DATA 	Keypress: space
74.4238 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
74.4273 	EXP 	window1: recordFrameIntervals = False
74.4399 	EXP 	text: autoDraw = False
74.4399 	EXP 	text: text = u'hada'
74.4399 	EXP 	text: autoDraw = True
74.4400 	EXP 	window1: recordFrameIntervals = False
76.2402 	DATA 	Keypress: space
76.2406 	EXP 	New trial (rep=0, index=8): {u'stim': u'haga'}
76.2429 	EXP 	window1: recordFrameIntervals = False
76.2568 	EXP 	text: autoDraw = False
76.2568 	EXP 	text: text = u'haga'
76.2568 	EXP 	text: autoDraw = True
76.2569 	EXP 	window1: recordFrameIntervals = False
77.7942 	DATA 	Keypress: space
77.7946 	EXP 	New trial (rep=0, index=9): {u'stim': u'en Mallorca'}
77.7995 	EXP 	window1: recordFrameIntervals = False
77.8104 	EXP 	text: autoDraw = False
77.8104 	EXP 	text: text = u'en Mallorca'
77.8104 	EXP 	text: autoDraw = True
77.8106 	EXP 	window1: recordFrameIntervals = False
80.7574 	DATA 	Keypress: space
80.7578 	EXP 	New trial (rep=0, index=10): {u'stim': u'en Finlandia'}
80.7628 	EXP 	window1: recordFrameIntervals = False
80.7776 	EXP 	text: autoDraw = False
80.7776 	EXP 	text: text = u'en Finlandia'
80.7776 	EXP 	text: autoDraw = True
80.7777 	EXP 	window1: recordFrameIntervals = False
83.4912 	DATA 	Keypress: space
83.4916 	EXP 	New trial (rep=0, index=11): {u'stim': u'encima'}
83.4948 	EXP 	window1: recordFrameIntervals = False
83.5074 	EXP 	text: autoDraw = False
83.5074 	EXP 	text: text = u'encima'
83.5074 	EXP 	text: autoDraw = True
83.5075 	EXP 	window1: recordFrameIntervals = False
85.6581 	DATA 	Keypress: space
85.6586 	EXP 	New trial (rep=0, index=12): {u'stim': u'enano'}
85.6616 	EXP 	window1: recordFrameIntervals = False
85.6744 	EXP 	text: autoDraw = False
85.6744 	EXP 	text: text = u'enano'
85.6744 	EXP 	text: autoDraw = True
85.6745 	EXP 	window1: recordFrameIntervals = False
87.5414 	DATA 	Keypress: space
87.5418 	EXP 	New trial (rep=0, index=13): {u'stim': u'hincha'}
87.5446 	EXP 	window1: recordFrameIntervals = False
87.5579 	EXP 	text: autoDraw = False
87.5579 	EXP 	text: text = u'hincha'
87.5579 	EXP 	text: autoDraw = True
87.5580 	EXP 	window1: recordFrameIntervals = False
89.7084 	DATA 	Keypress: space
89.7088 	EXP 	New trial (rep=0, index=14): {u'stim': u'a\xf1o'}
89.7121 	EXP 	window1: recordFrameIntervals = False
89.7248 	EXP 	text: autoDraw = False
89.7248 	EXP 	text: text = u'a\xf1o'
89.7248 	EXP 	text: autoDraw = True
89.7251 	EXP 	window1: recordFrameIntervals = False
91.8585 	DATA 	Keypress: space
91.8589 	EXP 	New trial (rep=0, index=15): {u'stim': u'tango'}
91.8615 	EXP 	window1: recordFrameIntervals = False
91.8750 	EXP 	text: autoDraw = False
91.8750 	EXP 	text: text = u'tango'
91.8750 	EXP 	text: autoDraw = True
91.8752 	EXP 	window1: recordFrameIntervals = False
93.7421 	DATA 	Keypress: space
93.7425 	EXP 	New trial (rep=0, index=16): {u'stim': u'pala'}
93.7451 	EXP 	window1: recordFrameIntervals = False
93.7586 	EXP 	text: autoDraw = False
93.7586 	EXP 	text: text = u'pala'
93.7586 	EXP 	text: autoDraw = True
93.7588 	EXP 	window1: recordFrameIntervals = False
95.7090 	DATA 	Keypress: space
95.7094 	EXP 	New trial (rep=0, index=17): {u'stim': u'alto'}
95.7120 	EXP 	window1: recordFrameIntervals = False
95.7253 	EXP 	text: autoDraw = False
95.7253 	EXP 	text: text = u'alto'
95.7253 	EXP 	text: autoDraw = True
95.7255 	EXP 	window1: recordFrameIntervals = False
98.0460 	DATA 	Keypress: space
98.0464 	EXP 	New trial (rep=0, index=18): {u'stim': u'algo'}
98.0489 	EXP 	window1: recordFrameIntervals = False
98.0624 	EXP 	text: autoDraw = False
98.0624 	EXP 	text: text = u'algo'
98.0624 	EXP 	text: autoDraw = True
98.0626 	EXP 	window1: recordFrameIntervals = False
99.9093 	DATA 	Keypress: space
99.9097 	EXP 	New trial (rep=0, index=19): {u'stim': u'para'}
99.9122 	EXP 	window1: recordFrameIntervals = False
99.9259 	EXP 	text: autoDraw = False
99.9259 	EXP 	text: text = u'para'
99.9259 	EXP 	text: autoDraw = True
99.9261 	EXP 	window1: recordFrameIntervals = False
101.9096 	DATA 	Keypress: space
101.9100 	EXP 	New trial (rep=0, index=20): {u'stim': u'corre'}
101.9126 	EXP 	window1: recordFrameIntervals = False
101.9260 	EXP 	text: autoDraw = False
101.9260 	EXP 	text: text = u'corre'
101.9260 	EXP 	text: autoDraw = True
101.9261 	EXP 	window1: recordFrameIntervals = False
103.7596 	DATA 	Keypress: space
103.7600 	EXP 	New trial (rep=0, index=21): {u'stim': u'Enrique'}
103.7648 	EXP 	window1: recordFrameIntervals = False
103.7762 	EXP 	text: autoDraw = False
103.7762 	EXP 	text: text = u'Enrique'
103.7762 	EXP 	text: autoDraw = True
103.7763 	EXP 	window1: recordFrameIntervals = False
105.7598 	DATA 	Keypress: space
105.7603 	EXP 	New trial (rep=0, index=22): {u'stim': u'Rosa'}
105.7640 	EXP 	window1: recordFrameIntervals = False
105.7764 	EXP 	text: autoDraw = False
105.7764 	EXP 	text: text = u'Rosa'
105.7764 	EXP 	text: autoDraw = True
105.7765 	EXP 	window1: recordFrameIntervals = False
107.7767 	DATA 	Keypress: space
107.7771 	EXP 	New trial (rep=0, index=23): {u'stim': u'Israel'}
107.7807 	EXP 	window1: recordFrameIntervals = False
107.7933 	EXP 	text: autoDraw = False
107.7933 	EXP 	text: text = u'Israel'
107.7933 	EXP 	text: autoDraw = True
107.7933 	EXP 	window1: recordFrameIntervals = False
109.9104 	DATA 	Keypress: space
109.9108 	EXP 	New trial (rep=0, index=24): {u'stim': u'\xbfCu\xe1ndo vienes?'}
109.9194 	EXP 	window1: recordFrameIntervals = False
109.9267 	EXP 	text: autoDraw = False
109.9267 	EXP 	text: text = u'\xbfCu\xe1ndo vienes?'
109.9267 	EXP 	text: autoDraw = True
109.9268 	EXP 	window1: recordFrameIntervals = False
113.0110 	DATA 	Keypress: space
113.0275 	EXP 	New trial (rep=0, index=25): {u'stim': u'\xbfVienes a las 6?'}
113.0335 	EXP 	window1: recordFrameIntervals = False
113.0473 	EXP 	text: autoDraw = False
113.0473 	EXP 	text: text = u'\xbfVienes a las 6?'
113.0473 	EXP 	text: autoDraw = True
113.0474 	EXP 	window1: recordFrameIntervals = False
115.8274 	DATA 	Keypress: space
115.8278 	EXP 	New trial (rep=0, index=26): {u'stim': u'El viento norte y el sol porfiaban sobre cu\xe1l de ellos era el m\xe1s fuerte, cuando acert\xf3 a pasar un viajero envuelto en ancha capa. Convinieron en que quien antes lograra obligar al viajero a quitarse la capa ser\xeda considerado m\xe1s poderoso. El viento norte sopl\xf3 con gran furia, pero cuanto m\xe1s soplaba, m\xe1s se arrebujaba en su capa el viajero; por fin el viento norte abandon\xf3 la empresa. Entonces brill\xf3 el sol con ardor, e inmediatamente se despoj\xf3 de su capa el viajero; por lo que el viento norte hubo de reconocer la superioridad del sol.'}
115.8959 	EXP 	window1: recordFrameIntervals = False
115.9108 	EXP 	text: autoDraw = False
