0.3351 	WARNING 	Movie2 stim could not be imported and won't be available
15.5800 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

15.5812 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xf121f30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.5812 	EXP 	window1: recordFrameIntervals = False
15.7480 	EXP 	window1: recordFrameIntervals = True
17.4129 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

17.5138 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
17.5193 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
17.5241 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
17.5471 	WARNING 	t of last frame was 134.38ms (=1/7)
17.5471 	EXP 	text_2: autoDraw = True
21.3490 	WARNING 	t of last frame was 20.14ms (=1/49)
24.3995 	WARNING 	t of last frame was 20.14ms (=1/49)
25.1662 	WARNING 	t of last frame was 20.15ms (=1/49)
27.9500 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
89.2062 	DATA 	Keypress: space
89.2141 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
89.2146 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
89.2151 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
89.2178 	EXP 	window1: recordFrameIntervals = False
89.2386 	EXP 	text_2: autoDraw = False
89.2386 	EXP 	text: text = u'pata'
89.2386 	EXP 	text: autoDraw = True
89.2389 	EXP 	window1: recordFrameIntervals = False
92.0729 	DATA 	Keypress: space
92.0737 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
92.0774 	EXP 	window1: recordFrameIntervals = False
92.0890 	EXP 	text: autoDraw = False
92.0890 	EXP 	text: text = u'bata'
92.0890 	EXP 	text: autoDraw = True
92.0893 	EXP 	window1: recordFrameIntervals = False
93.5896 	DATA 	Keypress: space
93.5904 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
93.5941 	EXP 	window1: recordFrameIntervals = False
93.6058 	EXP 	text: autoDraw = False
93.6058 	EXP 	text: text = u'taco'
93.6058 	EXP 	text: autoDraw = True
93.6061 	EXP 	window1: recordFrameIntervals = False
94.9064 	DATA 	Keypress: space
94.9073 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
94.9110 	EXP 	window1: recordFrameIntervals = False
94.9241 	EXP 	text: autoDraw = False
94.9241 	EXP 	text: text = u'dedo'
94.9241 	EXP 	text: autoDraw = True
94.9244 	EXP 	window1: recordFrameIntervals = False
96.4918 	DATA 	Keypress: space
96.4926 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
96.4963 	EXP 	window1: recordFrameIntervals = False
96.5073 	EXP 	text: autoDraw = False
96.5073 	EXP 	text: text = u'casa'
96.5073 	EXP 	text: autoDraw = True
96.5076 	EXP 	window1: recordFrameIntervals = False
98.0402 	DATA 	Keypress: space
98.0409 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
98.0447 	EXP 	window1: recordFrameIntervals = False
98.0564 	EXP 	text: autoDraw = False
98.0564 	EXP 	text: text = u'gato'
98.0564 	EXP 	text: autoDraw = True
98.0569 	EXP 	window1: recordFrameIntervals = False
99.4406 	DATA 	Keypress: space
99.4414 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
99.4454 	EXP 	window1: recordFrameIntervals = False
99.4570 	EXP 	text: autoDraw = False
99.4570 	EXP 	text: text = u'daba'
99.4570 	EXP 	text: autoDraw = True
99.4573 	EXP 	window1: recordFrameIntervals = False
100.8073 	DATA 	Keypress: space
100.8081 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
100.8131 	EXP 	window1: recordFrameIntervals = False
100.8234 	EXP 	text: autoDraw = False
100.8234 	EXP 	text: text = u'hada'
100.8234 	EXP 	text: autoDraw = True
100.8238 	EXP 	window1: recordFrameIntervals = False
102.0080 	DATA 	Keypress: space
102.0088 	EXP 	New trial (rep=0, index=8): {u'stim': u'haga'}
102.0130 	EXP 	window1: recordFrameIntervals = False
102.0236 	EXP 	text: autoDraw = False
102.0236 	EXP 	text: text = u'haga'
102.0236 	EXP 	text: autoDraw = True
102.0239 	EXP 	window1: recordFrameIntervals = False
103.2576 	DATA 	Keypress: space
103.2584 	EXP 	New trial (rep=0, index=9): {u'stim': u'en Mallorca'}
103.2651 	EXP 	window1: recordFrameIntervals = False
103.2745 	EXP 	text: autoDraw = False
103.2745 	EXP 	text: text = u'en Mallorca'
103.2745 	EXP 	text: autoDraw = True
103.2748 	EXP 	window1: recordFrameIntervals = False
105.7579 	DATA 	Keypress: space
105.7587 	EXP 	New trial (rep=0, index=10): {u'stim': u'en Finlandia'}
105.7654 	EXP 	window1: recordFrameIntervals = False
105.7747 	EXP 	text: autoDraw = False
105.7747 	EXP 	text: text = u'en Finlandia'
105.7747 	EXP 	text: autoDraw = True
105.7751 	EXP 	window1: recordFrameIntervals = False
107.9420 	DATA 	Keypress: space
107.9428 	EXP 	New trial (rep=0, index=11): {u'stim': u'encima'}
107.9475 	EXP 	window1: recordFrameIntervals = False
107.9578 	EXP 	text: autoDraw = False
107.9578 	EXP 	text: text = u'encima'
107.9578 	EXP 	text: autoDraw = True
107.9581 	EXP 	window1: recordFrameIntervals = False
