0.3431 	WARNING 	Movie2 stim could not be imported and won't be available
13.6581 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x100fef30>, name='window1', pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.6581 	EXP 	window1: recordFrameIntervals = False
13.8242 	EXP 	window1: recordFrameIntervals = True
14.0073 	EXP 	window1: recordFrameIntervals = False
14.1048 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.1106 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
14.1156 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
14.1241 	EXP 	text_2: autoDraw = True
56.3617 	DATA 	Keypress: space
56.3671 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
56.3675 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
56.3678 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
56.3702 	EXP 	window1: recordFrameIntervals = False
56.3782 	EXP 	text_2: autoDraw = False
56.3782 	EXP 	text: text = u'pata'
56.3782 	EXP 	text: autoDraw = True
56.3783 	EXP 	window1: recordFrameIntervals = False
58.1617 	DATA 	Keypress: space
58.1621 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
58.1644 	EXP 	window1: recordFrameIntervals = False
58.1782 	EXP 	text: autoDraw = False
58.1782 	EXP 	text: text = u'bata'
58.1782 	EXP 	text: autoDraw = True
58.1783 	EXP 	window1: recordFrameIntervals = False
60.2287 	DATA 	Keypress: space
60.2291 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
60.2314 	EXP 	window1: recordFrameIntervals = False
60.2451 	EXP 	text: autoDraw = False
60.2451 	EXP 	text: text = u'taco'
60.2451 	EXP 	text: autoDraw = True
60.2452 	EXP 	window1: recordFrameIntervals = False
61.8961 	DATA 	Keypress: space
61.8966 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
61.8997 	EXP 	window1: recordFrameIntervals = False
61.9120 	EXP 	text: autoDraw = False
61.9120 	EXP 	text: text = u'dedo'
