0.3382 	WARNING 	Movie2 stim could not be imported and won't be available
8.9029 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10ae1f30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9030 	EXP 	window1: recordFrameIntervals = False
9.0681 	EXP 	window1: recordFrameIntervals = True
9.2516 	EXP 	window1: recordFrameIntervals = False
9.3609 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.3666 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
9.3714 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
9.3849 	EXP 	text_2: autoDraw = True
21.6697 	DATA 	Keypress: space
21.6773 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
21.6778 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
21.6782 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
21.6810 	EXP 	window1: recordFrameIntervals = False
21.7029 	EXP 	text_2: autoDraw = False
21.7029 	EXP 	text: text = u'pata'
21.7029 	EXP 	text: autoDraw = True
21.7033 	EXP 	window1: recordFrameIntervals = False
24.1034 	DATA 	Keypress: space
24.1043 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
24.1080 	EXP 	window1: recordFrameIntervals = False
24.1194 	EXP 	text: autoDraw = False
24.1194 	EXP 	text: text = u'bata'
24.1194 	EXP 	text: autoDraw = True
24.1199 	EXP 	window1: recordFrameIntervals = False
25.9208 	DATA 	Keypress: space
25.9217 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
25.9255 	EXP 	window1: recordFrameIntervals = False
25.9372 	EXP 	text: autoDraw = False
25.9372 	EXP 	text: text = u'taco'
25.9372 	EXP 	text: autoDraw = True
25.9375 	EXP 	window1: recordFrameIntervals = False
27.7709 	DATA 	Keypress: space
27.7717 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
27.7754 	EXP 	window1: recordFrameIntervals = False
27.7871 	EXP 	text: autoDraw = False
27.7871 	EXP 	text: text = u'dedo'
27.7871 	EXP 	text: autoDraw = True
27.7874 	EXP 	window1: recordFrameIntervals = False
29.4548 	DATA 	Keypress: space
29.4556 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
29.4597 	EXP 	window1: recordFrameIntervals = False
29.4699 	EXP 	text: autoDraw = False
29.4699 	EXP 	text: text = u'casa'
29.4699 	EXP 	text: autoDraw = True
29.4702 	EXP 	window1: recordFrameIntervals = False
30.8210 	DATA 	Keypress: space
30.8219 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
30.8255 	EXP 	window1: recordFrameIntervals = False
30.8371 	EXP 	text: autoDraw = False
30.8371 	EXP 	text: text = u'gato'
30.8371 	EXP 	text: autoDraw = True
30.8375 	EXP 	window1: recordFrameIntervals = False
32.4548 	DATA 	Keypress: space
32.4556 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
32.4601 	EXP 	window1: recordFrameIntervals = False
32.4702 	EXP 	text: autoDraw = False
32.4702 	EXP 	text: text = u'daba'
32.4702 	EXP 	text: autoDraw = True
32.4705 	EXP 	window1: recordFrameIntervals = False
34.0713 	DATA 	Keypress: space
34.0722 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
34.0770 	EXP 	window1: recordFrameIntervals = False
34.0884 	EXP 	text: autoDraw = False
34.0884 	EXP 	text: text = u'hada'
34.0884 	EXP 	text: autoDraw = True
34.0888 	EXP 	window1: recordFrameIntervals = False
35.5718 	DATA 	Keypress: space
35.5725 	EXP 	New trial (rep=0, index=8): {u'stim': u'haga'}
35.5762 	EXP 	window1: recordFrameIntervals = False
35.5877 	EXP 	text: autoDraw = False
35.5877 	EXP 	text: text = u'haga'
35.5877 	EXP 	text: autoDraw = True
35.5880 	EXP 	window1: recordFrameIntervals = False
37.0217 	DATA 	Keypress: space
37.0225 	EXP 	New trial (rep=0, index=9): {u'stim': u'en Mallorca'}
37.0292 	EXP 	window1: recordFrameIntervals = False
37.0331 	EXP 	text: autoDraw = False
37.0331 	EXP 	text: text = u'en Mallorca'
37.0331 	EXP 	text: autoDraw = True
37.0333 	EXP 	window1: recordFrameIntervals = False
39.2225 	DATA 	Keypress: space
39.2234 	EXP 	New trial (rep=0, index=10): {u'stim': u'en Finlandia'}
39.2301 	EXP 	window1: recordFrameIntervals = False
39.2554 	EXP 	text: autoDraw = False
39.2554 	EXP 	text: text = u'en Finlandia'
39.2554 	EXP 	text: autoDraw = True
39.2558 	EXP 	window1: recordFrameIntervals = False
43.4230 	DATA 	Keypress: space
43.4238 	EXP 	New trial (rep=0, index=11): {u'stim': u'encima'}
43.4285 	EXP 	window1: recordFrameIntervals = False
43.4386 	EXP 	text: autoDraw = False
43.4386 	EXP 	text: text = u'encima'
43.4386 	EXP 	text: autoDraw = True
43.4389 	EXP 	window1: recordFrameIntervals = False
45.3228 	DATA 	Keypress: space
45.3237 	EXP 	New trial (rep=0, index=12): {u'stim': u'enano'}
45.3277 	EXP 	window1: recordFrameIntervals = False
45.3394 	EXP 	text: autoDraw = False
45.3394 	EXP 	text: text = u'enano'
45.3394 	EXP 	text: autoDraw = True
45.3396 	EXP 	window1: recordFrameIntervals = False
46.8237 	DATA 	Keypress: space
46.8245 	EXP 	New trial (rep=0, index=13): {u'stim': u'hincha'}
46.8286 	EXP 	window1: recordFrameIntervals = False
46.8390 	EXP 	text: autoDraw = False
46.8390 	EXP 	text: text = u'hincha'
46.8390 	EXP 	text: autoDraw = True
46.8393 	EXP 	window1: recordFrameIntervals = False
48.0736 	DATA 	Keypress: space
48.0744 	EXP 	New trial (rep=0, index=14): {u'stim': u'a\xf1o'}
48.0790 	EXP 	window1: recordFrameIntervals = False
48.0893 	EXP 	text: autoDraw = False
48.0893 	EXP 	text: text = u'a\xf1o'
