0.3319 	WARNING 	Movie2 stim could not be imported and won't be available
9.0564 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xf0c5f30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.0564 	EXP 	window1: recordFrameIntervals = False
9.2218 	EXP 	window1: recordFrameIntervals = True
9.4056 	EXP 	window1: recordFrameIntervals = False
9.5143 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.5200 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
9.5248 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
9.5381 	EXP 	text_2: autoDraw = True
39.1428 	DATA 	Keypress: space
39.1486 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
39.1491 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
39.1494 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
39.1521 	EXP 	window1: recordFrameIntervals = False
39.1559 	EXP 	text_2: autoDraw = False
39.1559 	EXP 	text: text = u'pata'
39.1559 	EXP 	text: autoDraw = True
39.1560 	EXP 	window1: recordFrameIntervals = False
40.5099 	DATA 	Keypress: space
40.5107 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
40.5145 	EXP 	window1: recordFrameIntervals = False
40.5262 	EXP 	text: autoDraw = False
40.5262 	EXP 	text: text = u'bata'
40.5262 	EXP 	text: autoDraw = True
40.5266 	EXP 	window1: recordFrameIntervals = False
41.8433 	DATA 	Keypress: space
41.8441 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
41.8478 	EXP 	window1: recordFrameIntervals = False
41.8595 	EXP 	text: autoDraw = False
41.8595 	EXP 	text: text = u'taco'
41.8595 	EXP 	text: autoDraw = True
41.8598 	EXP 	window1: recordFrameIntervals = False
43.0771 	DATA 	Keypress: space
43.0942 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
43.0981 	EXP 	window1: recordFrameIntervals = False
43.1098 	EXP 	text: autoDraw = False
43.1098 	EXP 	text: text = u'dedo'
43.1098 	EXP 	text: autoDraw = True
43.1100 	EXP 	window1: recordFrameIntervals = False
44.8103 	DATA 	Keypress: space
44.8111 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
44.8148 	EXP 	window1: recordFrameIntervals = False
44.8265 	EXP 	text: autoDraw = False
44.8265 	EXP 	text: text = u'casa'
44.8265 	EXP 	text: autoDraw = True
44.8268 	EXP 	window1: recordFrameIntervals = False
46.2101 	DATA 	Keypress: space
46.2109 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
46.2146 	EXP 	window1: recordFrameIntervals = False
46.2263 	EXP 	text: autoDraw = False
46.2263 	EXP 	text: text = u'gato'
46.2263 	EXP 	text: autoDraw = True
46.2266 	EXP 	window1: recordFrameIntervals = False
47.5105 	DATA 	Keypress: space
47.5113 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
47.5156 	EXP 	window1: recordFrameIntervals = False
47.5273 	EXP 	text: autoDraw = False
47.5273 	EXP 	text: text = u'daba'
47.5273 	EXP 	text: autoDraw = True
47.5276 	EXP 	window1: recordFrameIntervals = False
48.8947 	DATA 	Keypress: space
48.8955 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
48.9002 	EXP 	window1: recordFrameIntervals = False
48.9103 	EXP 	text: autoDraw = False
48.9103 	EXP 	text: text = u'hada'
48.9103 	EXP 	text: autoDraw = True
48.9106 	EXP 	window1: recordFrameIntervals = False
50.1776 	DATA 	Keypress: space
50.1784 	EXP 	New trial (rep=0, index=8): {u'stim': u'haga'}
50.1821 	EXP 	window1: recordFrameIntervals = False
50.1938 	EXP 	text: autoDraw = False
50.1938 	EXP 	text: text = u'haga'
50.1938 	EXP 	text: autoDraw = True
50.1941 	EXP 	window1: recordFrameIntervals = False
51.5276 	DATA 	Keypress: space
51.5284 	EXP 	New trial (rep=0, index=9): {u'stim': u'en Mallorca'}
51.5355 	EXP 	window1: recordFrameIntervals = False
51.5435 	EXP 	text: autoDraw = False
51.5435 	EXP 	text: text = u'en Mallorca'
51.5435 	EXP 	text: autoDraw = True
51.5438 	EXP 	window1: recordFrameIntervals = False
53.3614 	DATA 	Keypress: space
53.3622 	EXP 	New trial (rep=0, index=10): {u'stim': u'en Finlandia'}
53.3690 	EXP 	window1: recordFrameIntervals = False
53.3770 	EXP 	text: autoDraw = False
53.3770 	EXP 	text: text = u'en Finlandia'
53.3770 	EXP 	text: autoDraw = True
53.3774 	EXP 	window1: recordFrameIntervals = False
54.9615 	DATA 	Keypress: space
54.9623 	EXP 	New trial (rep=0, index=11): {u'stim': u'encima'}
54.9670 	EXP 	window1: recordFrameIntervals = False
54.9775 	EXP 	text: autoDraw = False
54.9775 	EXP 	text: text = u'encima'
54.9775 	EXP 	text: autoDraw = True
54.9779 	EXP 	window1: recordFrameIntervals = False
56.3285 	DATA 	Keypress: space
56.3294 	EXP 	New trial (rep=0, index=12): {u'stim': u'enano'}
56.3336 	EXP 	window1: recordFrameIntervals = False
56.3454 	EXP 	text: autoDraw = False
56.3454 	EXP 	text: text = u'enano'
56.3454 	EXP 	text: autoDraw = True
56.3457 	EXP 	window1: recordFrameIntervals = False
57.5951 	DATA 	Keypress: space
57.5959 	EXP 	New trial (rep=0, index=13): {u'stim': u'hincha'}
57.6001 	EXP 	window1: recordFrameIntervals = False
57.6118 	EXP 	text: autoDraw = False
57.6118 	EXP 	text: text = u'hincha'
57.6118 	EXP 	text: autoDraw = True
57.6121 	EXP 	window1: recordFrameIntervals = False
58.9285 	DATA 	Keypress: space
58.9293 	EXP 	New trial (rep=0, index=14): {u'stim': u'a\xf1o'}
58.9341 	EXP 	window1: recordFrameIntervals = False
58.9447 	EXP 	text: autoDraw = False
58.9447 	EXP 	text: text = u'a\xf1o'
58.9447 	EXP 	text: autoDraw = True
58.9450 	EXP 	window1: recordFrameIntervals = False
60.3798 	DATA 	Keypress: space
60.3806 	EXP 	New trial (rep=0, index=15): {u'stim': u'tango'}
60.3846 	EXP 	window1: recordFrameIntervals = False
60.3949 	EXP 	text: autoDraw = False
60.3949 	EXP 	text: text = u'tango'
60.3949 	EXP 	text: autoDraw = True
60.3952 	EXP 	window1: recordFrameIntervals = False
61.6128 	DATA 	Keypress: space
61.6136 	EXP 	New trial (rep=0, index=16): {u'stim': u'pala'}
61.6178 	EXP 	window1: recordFrameIntervals = False
61.6282 	EXP 	text: autoDraw = False
61.6282 	EXP 	text: text = u'pala'
61.6282 	EXP 	text: autoDraw = True
61.6285 	EXP 	window1: recordFrameIntervals = False
62.9790 	DATA 	Keypress: space
62.9798 	EXP 	New trial (rep=0, index=17): {u'stim': u'alto'}
62.9838 	EXP 	window1: recordFrameIntervals = False
62.9955 	EXP 	text: autoDraw = False
62.9955 	EXP 	text: text = u'alto'
62.9955 	EXP 	text: autoDraw = True
62.9959 	EXP 	window1: recordFrameIntervals = False
64.0965 	DATA 	Keypress: space
64.0973 	EXP 	New trial (rep=0, index=18): {u'stim': u'algo'}
64.1011 	EXP 	window1: recordFrameIntervals = False
64.1128 	EXP 	text: autoDraw = False
64.1128 	EXP 	text: text = u'algo'
64.1128 	EXP 	text: autoDraw = True
64.1131 	EXP 	window1: recordFrameIntervals = False
65.5469 	DATA 	Keypress: space
65.5477 	EXP 	New trial (rep=0, index=19): {u'stim': u'para'}
65.5514 	EXP 	window1: recordFrameIntervals = False
65.5632 	EXP 	text: autoDraw = False
65.5632 	EXP 	text: text = u'para'
65.5632 	EXP 	text: autoDraw = True
65.5635 	EXP 	window1: recordFrameIntervals = False
66.6636 	DATA 	Keypress: space
66.6644 	EXP 	New trial (rep=0, index=20): {u'stim': u'corre'}
66.6689 	EXP 	window1: recordFrameIntervals = False
66.6795 	EXP 	text: autoDraw = False
66.6795 	EXP 	text: text = u'corre'
66.6795 	EXP 	text: autoDraw = True
66.6798 	EXP 	window1: recordFrameIntervals = False
67.8134 	DATA 	Keypress: space
67.8142 	EXP 	New trial (rep=0, index=21): {u'stim': u'Enrique'}
67.8205 	EXP 	window1: recordFrameIntervals = False
67.8299 	EXP 	text: autoDraw = False
67.8299 	EXP 	text: text = u'Enrique'
67.8299 	EXP 	text: autoDraw = True
67.8303 	EXP 	window1: recordFrameIntervals = False
69.1308 	DATA 	Keypress: space
69.1316 	EXP 	New trial (rep=0, index=22): {u'stim': u'Rosa'}
69.1368 	EXP 	window1: recordFrameIntervals = False
69.1461 	EXP 	text: autoDraw = False
69.1461 	EXP 	text: text = u'Rosa'
69.1461 	EXP 	text: autoDraw = True
69.1464 	EXP 	window1: recordFrameIntervals = False
70.3808 	DATA 	Keypress: space
70.3817 	EXP 	New trial (rep=0, index=23): {u'stim': u'Israel'}
70.3870 	EXP 	window1: recordFrameIntervals = False
70.3963 	EXP 	text: autoDraw = False
70.3963 	EXP 	text: text = u'Israel'
70.3963 	EXP 	text: autoDraw = True
70.3966 	EXP 	window1: recordFrameIntervals = False
71.6304 	DATA 	Keypress: space
71.6312 	EXP 	New trial (rep=0, index=24): {u'stim': u'\xbfCu\xe1ndo vienes?'}
71.6403 	EXP 	window1: recordFrameIntervals = False
71.6469 	EXP 	text: autoDraw = False
71.6469 	EXP 	text: text = u'\xbfCu\xe1ndo vienes?'
71.6469 	EXP 	text: autoDraw = True
71.6471 	EXP 	window1: recordFrameIntervals = False
73.1477 	DATA 	Keypress: space
73.1485 	EXP 	New trial (rep=0, index=25): {u'stim': u'\xbfVienes a las 6?'}
73.1565 	EXP 	window1: recordFrameIntervals = False
73.1631 	EXP 	text: autoDraw = False
73.1631 	EXP 	text: text = u'\xbfVienes a las 6?'
73.1631 	EXP 	text: autoDraw = True
73.1633 	EXP 	window1: recordFrameIntervals = False
75.3314 	DATA 	Keypress: space
75.3322 	EXP 	New trial (rep=0, index=26): {u'stim': u'El viento norte y el sol porfiaban sobre cu\xe1l de ellos era el m\xe1s fuerte, cuando acert\xf3 a pasar un viajero envuelto en ancha capa. Convinieron en que quien antes lograra obligar al viajero a quitarse la capa ser\xeda considerado m\xe1s poderoso. El viento norte sopl\xf3 con gran furia, pero cuanto m\xe1s soplaba, m\xe1s se arrebujaba en su capa el viajero; por fin el viento norte abandon\xf3 la empresa. Entonces brill\xf3 el sol con ardor, e inmediatamente se despoj\xf3 de su capa el viajero; por lo que el viento norte hubo de reconocer la superioridad del sol.'}
75.4023 	EXP 	window1: recordFrameIntervals = False
75.4140 	EXP 	text: autoDraw = False
75.4140 	EXP 	text: text = u'El viento norte y el sol porfiaban sobre cu\xe1l de ellos era el m\xe1s fuerte, cuando acert\xf3 a pasar un viajero envuelto en ancha capa. Convinieron en que quien antes lograra obligar al viajero a quitarse la capa ser\xeda considerado m\xe1s poderoso. El viento norte sopl\xf3 con gran furia, pero cuanto m\xe1s soplaba, m\xe1s se arrebujaba en su capa el viajero; por fin el viento norte abandon\xf3 la empresa. Entonces brill\xf3 el sol con ardor, e inmediatamente se despoj\xf3 de su capa el viajero; por lo que el viento norte hubo de reconocer la superioridad del sol.'
75.4140 	EXP 	text: autoDraw = True
75.4142 	EXP 	window1: recordFrameIntervals = False
127.5390 	DATA 	Keypress: space
127.5715 	EXP 	text: autoDraw = False
127.5715 	EXP 	text_3: autoDraw = True
129.2558 	DATA 	Keypress: space
