0.3373 	WARNING 	Movie2 stim could not be imported and won't be available
18.2244 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xfefef30>, name='window1', pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.2244 	EXP 	window1: recordFrameIntervals = False
18.3904 	EXP 	window1: recordFrameIntervals = True
18.5739 	EXP 	window1: recordFrameIntervals = False
18.6745 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.6803 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
18.6854 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
18.7070 	EXP 	text_2: autoDraw = True
65.8491 	DATA 	Keypress: space
65.8546 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
65.8551 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
65.8554 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
65.8578 	EXP 	window1: recordFrameIntervals = False
65.8820 	EXP 	text_2: autoDraw = False
65.8820 	EXP 	text: text = u'pata'
65.8820 	EXP 	text: autoDraw = True
65.8821 	EXP 	window1: recordFrameIntervals = False
67.9119 	DATA 	Keypress: space
67.9124 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
67.9148 	EXP 	window1: recordFrameIntervals = False
