0.3311 	WARNING 	Movie2 stim could not be imported and won't be available
16.4345 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe9bcf30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.4346 	EXP 	window1: recordFrameIntervals = False
16.6000 	EXP 	window1: recordFrameIntervals = True
16.7838 	EXP 	window1: recordFrameIntervals = False
16.8926 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
16.8982 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
16.9031 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
16.9163 	EXP 	text_2: autoDraw = True
106.8134 	DATA 	Keypress: space
106.8214 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
106.8219 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
106.8223 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
106.8250 	EXP 	window1: recordFrameIntervals = False
106.8458 	EXP 	text_2: autoDraw = False
106.8458 	EXP 	text: text = u'pata'
106.8458 	EXP 	text: autoDraw = True
106.8461 	EXP 	window1: recordFrameIntervals = False
109.4468 	DATA 	Keypress: space
109.4476 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
109.4513 	EXP 	window1: recordFrameIntervals = False
109.4631 	EXP 	text: autoDraw = False
109.4631 	EXP 	text: text = u'bata'
