0.3304 	WARNING 	Movie2 stim could not be imported and won't be available
7.4211 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xf0a8f30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.4211 	EXP 	window1: recordFrameIntervals = False
7.5862 	EXP 	window1: recordFrameIntervals = True
7.7699 	EXP 	window1: recordFrameIntervals = False
7.8749 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.8805 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
7.8855 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
7.9026 	EXP 	text_2: autoDraw = True
17.7878 	DATA 	Keypress: space
17.7954 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
17.7959 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
17.7963 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
17.7990 	EXP 	window1: recordFrameIntervals = False
17.8210 	EXP 	text_2: autoDraw = False
17.8210 	EXP 	text: text = u'pata'
17.8210 	EXP 	text: autoDraw = True
17.8215 	EXP 	window1: recordFrameIntervals = False
20.5545 	DATA 	Keypress: space
20.5553 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
20.5590 	EXP 	window1: recordFrameIntervals = False
20.5705 	EXP 	text: autoDraw = False
20.5705 	EXP 	text: text = u'bata'
20.5705 	EXP 	text: autoDraw = True
20.5708 	EXP 	window1: recordFrameIntervals = False
22.4556 	DATA 	Keypress: space
22.4564 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
22.4604 	EXP 	window1: recordFrameIntervals = False
22.4706 	EXP 	text: autoDraw = False
22.4706 	EXP 	text: text = u'taco'
22.4706 	EXP 	text: autoDraw = True
22.4710 	EXP 	window1: recordFrameIntervals = False
24.4889 	DATA 	Keypress: space
24.4896 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
24.4934 	EXP 	window1: recordFrameIntervals = False
24.5050 	EXP 	text: autoDraw = False
24.5050 	EXP 	text: text = u'dedo'
24.5050 	EXP 	text: autoDraw = True
24.5054 	EXP 	window1: recordFrameIntervals = False
26.2890 	DATA 	Keypress: space
26.2898 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
26.2935 	EXP 	window1: recordFrameIntervals = False
26.3051 	EXP 	text: autoDraw = False
26.3051 	EXP 	text: text = u'casa'
26.3051 	EXP 	text: autoDraw = True
26.3054 	EXP 	window1: recordFrameIntervals = False
28.2061 	DATA 	Keypress: space
28.2069 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
28.2108 	EXP 	window1: recordFrameIntervals = False
28.2225 	EXP 	text: autoDraw = False
28.2225 	EXP 	text: text = u'gato'
28.2225 	EXP 	text: autoDraw = True
28.2229 	EXP 	window1: recordFrameIntervals = False
29.8057 	DATA 	Keypress: space
29.8066 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
29.8106 	EXP 	window1: recordFrameIntervals = False
29.8222 	EXP 	text: autoDraw = False
29.8222 	EXP 	text: text = u'daba'
29.8222 	EXP 	text: autoDraw = True
29.8225 	EXP 	window1: recordFrameIntervals = False
32.2900 	DATA 	Keypress: space
32.2908 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
32.2956 	EXP 	window1: recordFrameIntervals = False
32.3060 	EXP 	text: autoDraw = False
32.3060 	EXP 	text: text = u'hada'
32.3060 	EXP 	text: autoDraw = True
