0.3391 	WARNING 	Movie2 stim could not be imported and won't be available
10.7321 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xfeb6f30>, name='window1', pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.7321 	EXP 	window1: recordFrameIntervals = False
10.8980 	EXP 	window1: recordFrameIntervals = True
11.0818 	EXP 	window1: recordFrameIntervals = False
11.1810 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.1868 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
11.1920 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
11.2148 	EXP 	text_2: autoDraw = True
59.4701 	DATA 	Keypress: space
59.4759 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
59.4764 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
59.4767 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
59.4792 	EXP 	window1: recordFrameIntervals = False
59.4864 	EXP 	text_2: autoDraw = False
59.4864 	EXP 	text: text = u'pata'
59.4864 	EXP 	text: autoDraw = True
59.4866 	EXP 	window1: recordFrameIntervals = False
61.5201 	DATA 	Keypress: space
61.5206 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
61.5234 	EXP 	window1: recordFrameIntervals = False
61.5367 	EXP 	text: autoDraw = False
61.5367 	EXP 	text: text = u'bata'
61.5367 	EXP 	text: autoDraw = True
61.5369 	EXP 	window1: recordFrameIntervals = False
63.8869 	DATA 	Keypress: space
63.8873 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
63.8898 	EXP 	window1: recordFrameIntervals = False
63.9033 	EXP 	text: autoDraw = False
63.9033 	EXP 	text: text = u'taco'
63.9033 	EXP 	text: autoDraw = True
63.9035 	EXP 	window1: recordFrameIntervals = False
65.6207 	DATA 	Keypress: space
65.6211 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
65.6235 	EXP 	window1: recordFrameIntervals = False
65.6406 	EXP 	text: autoDraw = False
65.6406 	EXP 	text: text = u'dedo'
65.6406 	EXP 	text: autoDraw = True
65.6408 	EXP 	window1: recordFrameIntervals = False
67.6874 	DATA 	Keypress: space
