0.3473 	WARNING 	Movie2 stim could not be imported and won't be available
12.6257 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xf6e8f30>, name='window1', pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.6257 	EXP 	window1: recordFrameIntervals = False
12.7916 	EXP 	window1: recordFrameIntervals = True
12.9751 	EXP 	window1: recordFrameIntervals = False
13.0723 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
13.0783 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
13.0834 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
13.0915 	EXP 	text_2: autoDraw = True
68.5140 	DATA 	Keypress: space
68.5196 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
68.5200 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
68.5204 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
68.5228 	EXP 	window1: recordFrameIntervals = False
68.5305 	EXP 	text_2: autoDraw = False
68.5305 	EXP 	text: text = u'pata'
68.5305 	EXP 	text: autoDraw = True
68.5306 	EXP 	window1: recordFrameIntervals = False
70.7475 	DATA 	Keypress: space
70.7480 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
70.7503 	EXP 	window1: recordFrameIntervals = False
70.7640 	EXP 	text: autoDraw = False
70.7640 	EXP 	text: text = u'bata'
70.7640 	EXP 	text: autoDraw = True
70.7641 	EXP 	window1: recordFrameIntervals = False
73.2144 	DATA 	Keypress: space
73.2148 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
73.2171 	EXP 	window1: recordFrameIntervals = False
73.2308 	EXP 	text: autoDraw = False
73.2308 	EXP 	text: text = u'taco'
73.2308 	EXP 	text: autoDraw = True
73.2310 	EXP 	window1: recordFrameIntervals = False
75.7481 	DATA 	Keypress: space
75.7486 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
75.7518 	EXP 	window1: recordFrameIntervals = False
75.7644 	EXP 	text: autoDraw = False
75.7644 	EXP 	text: text = u'dedo'
75.7644 	EXP 	text: autoDraw = True
75.7645 	EXP 	window1: recordFrameIntervals = False
78.3984 	DATA 	Keypress: space
78.3990 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
78.4019 	EXP 	window1: recordFrameIntervals = False
78.4147 	EXP 	text: autoDraw = False
78.4147 	EXP 	text: text = u'casa'
78.4147 	EXP 	text: autoDraw = True
78.4148 	EXP 	window1: recordFrameIntervals = False
80.5486 	DATA 	Keypress: space
80.5490 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
80.5513 	EXP 	window1: recordFrameIntervals = False
80.5649 	EXP 	text: autoDraw = False
80.5649 	EXP 	text: text = u'gato'
80.5649 	EXP 	text: autoDraw = True
80.5652 	EXP 	window1: recordFrameIntervals = False
83.0157 	DATA 	Keypress: space
83.0321 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
83.0348 	EXP 	window1: recordFrameIntervals = False
83.0484 	EXP 	text: autoDraw = False
83.0484 	EXP 	text: text = u'daba'
83.0484 	EXP 	text: autoDraw = True
83.0485 	EXP 	window1: recordFrameIntervals = False
85.6659 	DATA 	Keypress: space
85.6664 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
