0.3619 	WARNING 	Movie2 stim could not be imported and won't be available
26.9912 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xf9c0f30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
26.9912 	EXP 	window1: recordFrameIntervals = False
27.1559 	EXP 	window1: recordFrameIntervals = True
27.3400 	EXP 	window1: recordFrameIntervals = False
27.4523 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
27.4596 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
27.4652 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
27.4902 	EXP 	text_2: autoDraw = True
131.4697 	DATA 	Keypress: space
131.4779 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
131.4784 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
131.4788 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
131.4815 	EXP 	window1: recordFrameIntervals = False
131.5015 	EXP 	text_2: autoDraw = False
131.5015 	EXP 	text: text = u'pata'
131.5015 	EXP 	text: autoDraw = True
131.5019 	EXP 	window1: recordFrameIntervals = False
133.4039 	DATA 	Keypress: space
133.4191 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
133.4230 	EXP 	window1: recordFrameIntervals = False
133.4378 	EXP 	text: autoDraw = False
133.4378 	EXP 	text: text = u'bata'
133.4378 	EXP 	text: autoDraw = True
133.4381 	EXP 	window1: recordFrameIntervals = False
134.9558 	DATA 	Keypress: space
134.9565 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
134.9602 	EXP 	window1: recordFrameIntervals = False
134.9683 	EXP 	text: autoDraw = False
134.9683 	EXP 	text: text = u'taco'
134.9683 	EXP 	text: autoDraw = True
134.9685 	EXP 	window1: recordFrameIntervals = False
136.5197 	DATA 	Keypress: space
136.5205 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
136.5247 	EXP 	window1: recordFrameIntervals = False
136.5387 	EXP 	text: autoDraw = False
136.5387 	EXP 	text: text = u'dedo'
136.5387 	EXP 	text: autoDraw = True
136.5390 	EXP 	window1: recordFrameIntervals = False
137.8862 	DATA 	Keypress: space
137.8869 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
137.8907 	EXP 	window1: recordFrameIntervals = False
137.9022 	EXP 	text: autoDraw = False
137.9022 	EXP 	text: text = u'casa'
137.9022 	EXP 	text: autoDraw = True
137.9025 	EXP 	window1: recordFrameIntervals = False
139.6864 	DATA 	Keypress: space
139.6872 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
139.6909 	EXP 	window1: recordFrameIntervals = False
139.7026 	EXP 	text: autoDraw = False
139.7026 	EXP 	text: text = u'gato'
139.7026 	EXP 	text: autoDraw = True
139.7030 	EXP 	window1: recordFrameIntervals = False
141.1365 	DATA 	Keypress: space
141.1373 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
141.1418 	EXP 	window1: recordFrameIntervals = False
141.1545 	EXP 	text: autoDraw = False
141.1545 	EXP 	text: text = u'daba'
141.1545 	EXP 	text: autoDraw = True
141.1548 	EXP 	window1: recordFrameIntervals = False
142.7538 	DATA 	Keypress: space
142.7546 	EXP 	New trial (rep=0, index=7): {u'stim': u'hada'}
142.7595 	EXP 	window1: recordFrameIntervals = False
142.7698 	EXP 	text: autoDraw = False
142.7698 	EXP 	text: text = u'hada'
142.7698 	EXP 	text: autoDraw = True
142.7702 	EXP 	window1: recordFrameIntervals = False
144.3203 	DATA 	Keypress: space
144.3211 	EXP 	New trial (rep=0, index=8): {u'stim': u'haga'}
144.3249 	EXP 	window1: recordFrameIntervals = False
144.3365 	EXP 	text: autoDraw = False
144.3365 	EXP 	text: text = u'haga'
144.3365 	EXP 	text: autoDraw = True
144.3368 	EXP 	window1: recordFrameIntervals = False
145.7709 	DATA 	Keypress: space
145.7717 	EXP 	New trial (rep=0, index=9): {u'stim': u'en Mallorca'}
145.7783 	EXP 	window1: recordFrameIntervals = False
145.7883 	EXP 	text: autoDraw = False
145.7883 	EXP 	text: text = u'en Mallorca'
145.7883 	EXP 	text: autoDraw = True
145.7885 	EXP 	window1: recordFrameIntervals = False
147.9218 	DATA 	Keypress: space
147.9226 	EXP 	New trial (rep=0, index=10): {u'stim': u'en Finlandia'}
147.9293 	EXP 	window1: recordFrameIntervals = False
147.9371 	EXP 	text: autoDraw = False
147.9371 	EXP 	text: text = u'en Finlandia'
147.9371 	EXP 	text: autoDraw = True
147.9373 	EXP 	window1: recordFrameIntervals = False
150.2883 	DATA 	Keypress: space
150.2891 	EXP 	New trial (rep=0, index=11): {u'stim': u'encima'}
150.2938 	EXP 	window1: recordFrameIntervals = False
150.3043 	EXP 	text: autoDraw = False
150.3043 	EXP 	text: text = u'encima'
150.3043 	EXP 	text: autoDraw = True
150.3045 	EXP 	window1: recordFrameIntervals = False
151.9215 	DATA 	Keypress: space
151.9223 	EXP 	New trial (rep=0, index=12): {u'stim': u'enano'}
151.9265 	EXP 	window1: recordFrameIntervals = False
151.9389 	EXP 	text: autoDraw = False
151.9389 	EXP 	text: text = u'enano'
151.9389 	EXP 	text: autoDraw = True
151.9392 	EXP 	window1: recordFrameIntervals = False
153.1215 	DATA 	Keypress: space
153.1223 	EXP 	New trial (rep=0, index=13): {u'stim': u'hincha'}
153.1266 	EXP 	window1: recordFrameIntervals = False
153.1383 	EXP 	text: autoDraw = False
153.1383 	EXP 	text: text = u'hincha'
153.1383 	EXP 	text: autoDraw = True
153.1385 	EXP 	window1: recordFrameIntervals = False
154.6550 	DATA 	Keypress: space
154.6558 	EXP 	New trial (rep=0, index=14): {u'stim': u'a\xf1o'}
154.6607 	EXP 	window1: recordFrameIntervals = False
154.6712 	EXP 	text: autoDraw = False
154.6712 	EXP 	text: text = u'a\xf1o'
154.6712 	EXP 	text: autoDraw = True
154.6715 	EXP 	window1: recordFrameIntervals = False
155.8566 	DATA 	Keypress: space
155.8574 	EXP 	New trial (rep=0, index=15): {u'stim': u'tango'}
155.8614 	EXP 	window1: recordFrameIntervals = False
155.8719 	EXP 	text: autoDraw = False
155.8719 	EXP 	text: text = u'tango'
155.8719 	EXP 	text: autoDraw = True
155.8723 	EXP 	window1: recordFrameIntervals = False
157.1062 	DATA 	Keypress: space
157.1070 	EXP 	New trial (rep=0, index=16): {u'stim': u'pala'}
157.1107 	EXP 	window1: recordFrameIntervals = False
157.1219 	EXP 	text: autoDraw = False
157.1219 	EXP 	text: text = u'pala'
157.1219 	EXP 	text: autoDraw = True
157.1222 	EXP 	window1: recordFrameIntervals = False
158.4388 	DATA 	Keypress: space
158.4396 	EXP 	New trial (rep=0, index=17): {u'stim': u'alto'}
158.4437 	EXP 	window1: recordFrameIntervals = False
158.4550 	EXP 	text: autoDraw = False
158.4550 	EXP 	text: text = u'alto'
158.4550 	EXP 	text: autoDraw = True
158.4553 	EXP 	window1: recordFrameIntervals = False
159.7564 	DATA 	Keypress: space
159.7573 	EXP 	New trial (rep=0, index=18): {u'stim': u'algo'}
159.7609 	EXP 	window1: recordFrameIntervals = False
159.7726 	EXP 	text: autoDraw = False
159.7726 	EXP 	text: text = u'algo'
159.7726 	EXP 	text: autoDraw = True
