0.3333 	WARNING 	Movie2 stim could not be imported and won't be available
9.9728 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xefe6f30>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.9729 	EXP 	window1: recordFrameIntervals = False
10.1384 	EXP 	window1: recordFrameIntervals = True
10.3212 	EXP 	window1: recordFrameIntervals = False
10.4302 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.4357 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)
10.4405 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\xa1Gracias!', units=u'norm', win=Window(...), wrapWidth=1)
10.4550 	EXP 	text_2: autoDraw = True
21.3068 	DATA 	Keypress: space
21.3149 	EXP 	Imported list.xlsx as conditions, 27 conditions, 1 params
21.3155 	EXP 	Created sequence: sequential, trialTypes=27, nReps=1, seed=None
21.3159 	EXP 	New trial (rep=0, index=0): {u'stim': u'pata'}
21.3186 	EXP 	window1: recordFrameIntervals = False
21.3396 	EXP 	text_2: autoDraw = False
21.3396 	EXP 	text: text = u'pata'
21.3396 	EXP 	text: autoDraw = True
21.3400 	EXP 	window1: recordFrameIntervals = False
22.8741 	DATA 	Keypress: space
22.8749 	EXP 	New trial (rep=0, index=1): {u'stim': u'bata'}
22.8791 	EXP 	window1: recordFrameIntervals = False
22.8896 	EXP 	text: autoDraw = False
22.8896 	EXP 	text: text = u'bata'
22.8896 	EXP 	text: autoDraw = True
22.8899 	EXP 	window1: recordFrameIntervals = False
24.0574 	DATA 	Keypress: space
24.0583 	EXP 	New trial (rep=0, index=2): {u'stim': u'taco'}
24.0620 	EXP 	window1: recordFrameIntervals = False
24.0737 	EXP 	text: autoDraw = False
24.0737 	EXP 	text: text = u'taco'
24.0737 	EXP 	text: autoDraw = True
24.0740 	EXP 	window1: recordFrameIntervals = False
25.4241 	DATA 	Keypress: space
25.4249 	EXP 	New trial (rep=0, index=3): {u'stim': u'dedo'}
25.4285 	EXP 	window1: recordFrameIntervals = False
25.4401 	EXP 	text: autoDraw = False
25.4401 	EXP 	text: text = u'dedo'
25.4401 	EXP 	text: autoDraw = True
25.4405 	EXP 	window1: recordFrameIntervals = False
26.6913 	DATA 	Keypress: space
26.6921 	EXP 	New trial (rep=0, index=4): {u'stim': u'casa'}
26.6962 	EXP 	window1: recordFrameIntervals = False
26.7067 	EXP 	text: autoDraw = False
26.7067 	EXP 	text: text = u'casa'
26.7067 	EXP 	text: autoDraw = True
26.7070 	EXP 	window1: recordFrameIntervals = False
27.9912 	DATA 	Keypress: space
27.9920 	EXP 	New trial (rep=0, index=5): {u'stim': u'gato'}
27.9961 	EXP 	window1: recordFrameIntervals = False
28.0067 	EXP 	text: autoDraw = False
28.0067 	EXP 	text: text = u'gato'
28.0067 	EXP 	text: autoDraw = True
28.0070 	EXP 	window1: recordFrameIntervals = False
29.2748 	DATA 	Keypress: space
29.2756 	EXP 	New trial (rep=0, index=6): {u'stim': u'daba'}
